canonical_slug,group,name,specification,unit
corn-corn-white-grain,CORN,Corn,White. Grain,kg
corn-corn-yellow-grain,CORN,Corn,"Yellow, Grain",kg
corn-corn-cracked-yellow-feed-grade,CORN,Corn Cracked,"Yellow, Feed Grade",kg
corn-corn-grits-feed-grade,CORN,Corn Grits,Feed Grade,kg
corn-corn-grits-white-food-grade,CORN,Corn Grits,"White, Food Grade",kg
corn-corn-grits-yellow-food-grade,CORN,Corn Grits,"Yellow, Food Grade",kg
fertilizer-ammonium-phosphate-16-20-0,FERTILIZER,Ammonium Phosphate (16-20-0),,bag
fertilizer-ammonium-sulfate-21-0-0,FERTILIZER,Ammonium Sulfate (21-0-0),,bag
fertilizer-complete-14-14-14,FERTILIZER,Complete (14-14-14),,bag
fertilizer-diammophos-18-46-0,FERTILIZER,Diammophos (18-46-0),,bag
fertilizer-muriate-of-potash-0-0-60,FERTILIZER,Muriate of Potash (0-0-60),,bag
fertilizer-urea-46-0-0,FERTILIZER,Urea (46-0-0),,bag
fish-alumahan-indian-mackerel-medium-4-6-pcs-kg,FISH,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),kg
fish-bangus-large-large-1-2-pcs,FISH,"Bangus, Large",Large (1-2 pcs),kg
fish-bangus-medium-medium-3-4-pcs-kg,FISH,"Bangus, Medium",Medium (3-4 pcs/kg),kg
fish-bonito-frigate-tuna,FISH,Bonito (Frigate Tuna),,kg
fish-salmon-head-imported,FISH,"Salmon Head, Imported",,kg
fish-sardines-tamban,FISH,Sardines (Tamban),,kg
fish-squid-pusit-bisaya-local-medium,FISH,"Squid (Pusit Bisaya), Local",Medium,kg
fish-tambakol-yellow-fin-tuna-local-medium-fresh-or-chilled,FISH,"Tambakol (Yellow-Fin Tuna), Local","Medium, Fresh or Chilled",kg
fish-tilapia-medium-5-6-pcs-kg,FISH,Tilapia,Medium (5-6 pcs/kg),kg
fruits-avocado,FRUITS,Avocado,,kg
fruits-banana-lakatan-8-10-pcs-kg,FRUITS,Banana (Lakatan),8-10 pcs/kg,kg
fruits-banana-latundan-10-12-pcs-kg,FRUITS,Banana (Latundan),10-12 pcs/kg,kg
fruits-banana-saba,FRUITS,Banana (Saba),,kg
fruits-calamansi,FRUITS,Calamansi,,kg
fruits-mango-carabao-ripe-3-4-pcs-kg,FRUITS,Mango (Carabao),"Ripe, 3-4 pcs/kg",kg
fruits-melon,FRUITS,Melon,,kg
fruits-papaya-solo-ripe,FRUITS,Papaya,"Solo, Ripe",kg
fruits-pomelo,FRUITS,Pomelo,,kg
fruits-watermelon,FRUITS,Watermelon,,kg
fungicide-antracol,FUNGICIDE,Antracol,,kg
fungicide-dithane,FUNGICIDE,Dithane,,kg
fungicide-fungitox,FUNGICIDE,Fungitox,,kg
herbicide-kocide,HERBICIDE,Kocide,,L
highland-vegetables-bottle-gourd-upo,HIGHLAND VEGETABLES,Bottle Gourd (Upo),,kg
